DEBUG: x=0.151307, struve=0.022651
DEBUG: x=0.151762, struve=0.022787
DEBUG: x=0.152216, struve=0.022924
DEBUG: x=0.152670, struve=0.023060
DEBUG: x=0.153125, struve=0.023198
DEBUG: x=0.153579, struve=0.023335
DEBUG: x=0.154033, struve=0.023473
DEBUG: x=0.154488, struve=0.023612
DEBUG: x=0.154942, struve=0.023751
DEBUG: x=0.155397, struve=0.023890
DEBUG: x=0.155851, struve=0.024030
DEBUG: x=0.156305, struve=0.024170
DEBUG: x=0.156760, struve=0.024310
DEBUG: x=0.157214, struve=0.024451
DEBUG: x=0.157668, struve=0.024593
DEBUG: x=0.158123, struve=0.024734
DEBUG: x=0.158577, struve=0.024876
DEBUG: x=0.159032, struve=0.025019
DEBUG: x=0.159486, struve=0.025162
DEBUG: x=0.159940, struve=0.025305
DEBUG: x=0.160395, struve=0.025449
DEBUG: x=0.160849, struve=0.025593
DEBUG: x=0.161303, struve=0.025738
DEBUG: x=0.161758, struve=0.025883
DEBUG: x=0.162212, struve=0.026028
DEBUG: x=0.162667, struve=0.026174
DEBUG: x=0.163121, struve=0.026320
DEBUG: x=0.163575, struve=0.026466
DEBUG: x=0.164030, struve=0.026613
DEBUG: x=0.164484, struve=0.026761
DEBUG: x=0.164938, struve=0.026909
DEBUG: x=0.165393, struve=0.027057
DEBUG: x=0.165847, struve=0.027205
DEBUG: x=0.166302, struve=0.027354
DEBUG: x=0.166756, struve=0.027504
DEBUG: x=0.167210, struve=0.027654
DEBUG: x=0.167665, struve=0.027804
DEBUG: x=0.168119, struve=0.027954
DEBUG: x=0.168573, struve=0.028105
DEBUG: x=0.169028, struve=0.028257
DEBUG: x=0.169482, struve=0.028409
DEBUG: x=0.169937, struve=0.028561
DEBUG: x=0.170391, struve=0.028713
DEBUG: x=0.170845, struve=0.028867
DEBUG: x=0.171300, struve=0.029020
DEBUG: x=0.171754, struve=0.029174
DEBUG: x=0.172208, struve=0.029328
DEBUG: x=0.172663, struve=0.029483
DEBUG: x=0.173117, struve=0.029638
DEBUG: x=0.173572, struve=0.029793
DEBUG: x=0.174026, struve=0.029949
DEBUG: x=0.174480, struve=0.030105
DEBUG: x=0.174935, struve=0.030262
DEBUG: x=0.175389, struve=0.030419
DEBUG: x=0.175843, struve=0.030577
DEBUG: x=0.176298, struve=0.030735
DEBUG: x=0.176752, struve=0.030893
DEBUG: x=0.177207, struve=0.031052
DEBUG: x=0.177661, struve=0.031211
DEBUG: x=0.178115, struve=0.031370
DEBUG: x=0.178570, struve=0.031530
DEBUG: x=0.179024, struve=0.031690
DEBUG: x=0.179478, struve=0.031851
DEBUG: x=0.179933, struve=0.032012
DEBUG: x=0.180387, struve=0.032174
DEBUG: x=0.180842, struve=0.032336
DEBUG: x=0.181296, struve=0.032498
DEBUG: x=0.181750, struve=0.032661
DEBUG: x=0.182205, struve=0.032824
DEBUG: x=0.182659, struve=0.032988
DEBUG: x=0.183113, struve=0.033152
DEBUG: x=0.183568, struve=0.033316
DEBUG: x=0.184022, struve=0.033481
DEBUG: x=0.184477, struve=0.033646
DEBUG: x=0.184931, struve=0.033811
DEBUG: x=0.185385, struve=0.033977
DEBUG: x=0.185840, struve=0.034144
DEBUG: x=0.186294, struve=0.034310
DEBUG: x=0.186748, struve=0.034478
DEBUG: x=0.187203, struve=0.034645
DEBUG: x=0.187657, struve=0.034813
DEBUG: x=0.188112, struve=0.034982
DEBUG: x=0.188566, struve=0.035150
DEBUG: x=0.189020, struve=0.035320
DEBUG: x=0.189475, struve=0.035489
DEBUG: x=0.189929, struve=0.035659
DEBUG: x=0.190383, struve=0.035830
DEBUG: x=0.190838, struve=0.036000
DEBUG: x=0.191292, struve=0.036172
DEBUG: x=0.191747, struve=0.036343
DEBUG: x=0.192201, struve=0.036515
DEBUG: x=0.192655, struve=0.036688
DEBUG: x=0.193110, struve=0.036861
DEBUG: x=0.193564, struve=0.037034
DEBUG: x=0.194018, struve=0.037207
DEBUG: x=0.194473, struve=0.037381
DEBUG: x=0.194927, struve=0.037556
DEBUG: x=0.195382, struve=0.037731
DEBUG: x=0.195836, struve=0.037906
DEBUG: x=0.196290, struve=0.038082
DEBUG: x=0.196745, struve=0.038258
DEBUG: x=0.197199, struve=0.038434
DEBUG: x=0.197653, struve=0.038611
DEBUG: x=0.198108, struve=0.038788
DEBUG: x=0.198562, struve=0.038966
DEBUG: x=0.199017, struve=0.039144
DEBUG: x=0.199471, struve=0.039322
DEBUG: x=0.199925, struve=0.039501
DEBUG: x=0.200380, struve=0.039681
DEBUG: x=0.200834, struve=0.039860
DEBUG: x=0.201288, struve=0.040040
DEBUG: x=0.201743, struve=0.040221
DEBUG: x=0.202197, struve=0.040402
DEBUG: x=0.202652, struve=0.040583
DEBUG: x=0.203106, struve=0.040765
DEBUG: x=0.203560, struve=0.040947
DEBUG: x=0.204015, struve=0.041129
DEBUG: x=0.204469, struve=0.041312
DEBUG: x=0.204924, struve=0.041496
DEBUG: x=0.205378, struve=0.041679
DEBUG: x=0.205832, struve=0.041863
DEBUG: x=0.206287, struve=0.042048
DEBUG: x=0.206741, struve=0.042233
DEBUG: x=0.207195, struve=0.042418
DEBUG: x=0.207650, struve=0.042604
DEBUG: x=0.208104, struve=0.042790
DEBUG: x=0.208559, struve=0.042976
DEBUG: x=0.209013, struve=0.043163
DEBUG: x=0.209467, struve=0.043351
DEBUG: x=0.209922, struve=0.043538
DEBUG: x=0.210376, struve=0.043726
